Дата,ВВП_месяц
2011-01-01,11296.834202029175
2011-02-01,12276.256415154658
2011-03-01,13024.8
2011-04-01,13597.429058079684
2011-05-01,14049.107690908193
2011-06-01,14434.8
2011-07-01,14809.470086869584
2011-08-01,15228.082053031425
2011-09-01,15745.6
2011-10-01,16360.23133518272
2011-11-01,16843.1566895587
2011-12-01,16908.8
2012-01-01,16398.863831658804
2012-02-01,15664.165262807845
2012-03-01,15182.8
2012-04-01,15299.394819663552
2012-05-01,15824.700777728438
2012-06-01,16436.0
2012-07-01,16890.468000798104
2012-08-01,17264.853848500636
2012-09-01,17715.8
2012-10-01,18313.818362329228
2012-11-01,18784.89864308384
2012-12-01,18768.9
2013-01-01,18060.23632766277
2013-02-01,17071.54046805288
2013-03-01,16370.0
2013-04-01,16369.014104797481
2013-05-01,16866.82837359352
2013-06-01,17507.9
2013-07-01,18020.696142036188
2013-08-01,18469.723815350822
2013-09-01,19003.5
2013-10-01,19678.164290020723
2013-11-01,20180.346735373565
2013-12-01,20104.3
2014-01-01,19228.05780899203
2014-02-01,18064.778132043808
2014-03-01,17311.4
2014-04-01,17463.53410364078
2014-05-01,18211.477773488252
2014-06-01,19044.2
2014-07-01,19584.124294963367
2014-08-01,19987.49225548468
2014-09-01,20544.0
2014-10-01,21398.942790579826
2014-11-01,22120.012463832303
2014-12-01,22130.5
2015-01-01,21088.382320495115
2015-02-01,19590.380111408336
2015-03-01,18467.9
2015-04-01,18333.213112624908
2015-05-01,18922.048572015825
2015-06-01,19751.0
2015-07-01,20445.702266042295
2015-08-01,21067.95523015799
2015-09-01,21788.6
2015-10-01,22661.08893431703
2015-11-01,23269.31939624109
2015-12-01,23079.8
2016-01-01,21799.60495965254
2016-02-01,20098.07088858134
2016-03-01,18885.1
2016-04-01,18817.839375220952
2016-05-01,19542.41556795205
2016-06-01,20452.2
2016-07-01,21089.030132056236
2016-08-01,21588.60758035118
2016-09-01,22235.1
2016-10-01,23169.92898544299
2016-11-01,23963.531888421
2016-12-01,24043.6
2017-01-01,23071.40207431994
2017-02-01,21642.51671781667
2017-03-01,20586.1
2017-04-01,20508.13679135131
2017-05-01,21121.927166238238
2017-06-01,21917.6
2017-07-01,22511.987797311853
2017-08-01,23028.737580193323
2017-09-01,23718.2
2017-10-01,24693.497204586467
2017-11-01,25518.83732780328
2017-12-01,25621.2
2018-01-01,24672.5381991571
2018-02-01,23324.69829377874
2018-03-01,22474.5
2018-04-01,22762.905554340694
2018-05-01,23807.447274859544
2018-06-01,24969.8
2018-07-01,25775.20625014679
2018-08-01,26403.179273449754
2018-09-01,27196.8
2018-10-01,28322.047222849917
2018-11-01,29236.49118689699
2018-12-01,29220.6
2019-01-01,27859.02708067577
2019-02-01,25953.167090073384
2019-03-01,24608.6
2019-04-01,24620.911121113662
2019-05-01,25545.707119476112
2019-06-01,26628.6
2019-07-01,27302.7580644992
2019-08-01,27751.574802392526
2019-09-01,28346.0
2019-10-01,29283.37884311175
2019-11-01,30066.63811539823
2019-12-01,30025.1
2020-01-01,28733.311748238986
2020-02-01,26746.720884162693
2020-03-01,24866.0
2020-04-01,23740.326015784154
2020-05-01,23412.893162765813
2020-06-01,23775.4
2020-07-01,24714.61011455033
2020-08-01,26097.547205514802
2020-09-01,27786.3
2020-10-01,29566.000192681193
2020-11-01,30913.951348508323
2020-12-01,31230.5
2021-01-01,30207.078003613788
2021-02-01,28699.458511563033
2021-03-01,27854.5
2021-04-01,28486.476681752534
2021-05-01,30079.32571635067
2021-06-01,31784.4
2021-07-01,32980.200454561265
2021-08-01,33953.82010451578
2021-09-01,35219.5
2021-10-01,37067.69187037279
2021-11-01,38893.69016188253
2021-12-01,39869.0
2022-01-01,39451.491323206836
2022-02-01,38244.493322028175
2022-03-01,37137.7
2022-04-01,36801.94283679985
2022-05-01,37032.60321667143
2022-06-01,37406.2
2022-07-01,37647.63362589005
2022-08-01,38075.33084832313
2022-09-01,39156.1
2022-10-01,41069.93747445474
2022-11-01,42849.59190855456
2022-12-01,43241.0
2023-01-01,41485.52017999471
2023-02-01,38806.197813754916
2023-03-01,36921.5
2023-04-01,37087.60032408495
2023-05-01,38711.49831790725
2023-06-01,40737.9
2023-07-01,42390.048894035855
2023-08-01,44005.33854424571
2023-09-01,46199.7
2023-10-01,49223.80039606793
2023-11-01,51867.25120881363
2023-12-01,52554.4
2024-01-01,50339.67544761838
2024-02-01,46797.83069457386
2024-03-01,44133.7
2024-04-01,43953.07929494006
2024-05-01,45465.61119807612
2024-06-01,47281.9
2024-07-01,48390.244409658444
2024-08-01,49289.72080941796
2024-09-01,50857.1
2024-10-01,53618.9689923521
2024-11-01,56701.179638326124
2024-12-01,58879.4
2025-01-01,58929.29813945165
2025-02-01,55626.54211875901
2025-03-01,47746.8
